timestamp,x,y,z
0,13.02,1.38,4.1
10,15.95,0.3,3.39
20,17.73,-0.48,2.68
30,19.13,-1.05,1.9
40,20.76,-1.36,1.18
50,22.07,-1.52,0.59
60,22.38,-1.46,0.05
70,21.72,-1.38,-0.27
80,20.5,-1.55,-0.56
90,19.01,-1.85,-0.77
100,17.17,-2.36,-0.74
110,14.85,-2.69,-0.3
120,12.11,-2.59,0.98
130,9.0,-2.44,2.72
140,5.81,-2.12,4.76
150,2.74,-1.66,7.14
160,-0.22,-1.13,9.46
170,-2.86,-0.11,11.77
180,-5.25,0.91,13.48
190,-7.7,1.48,14.28
200,-10.13,1.89,14.71
210,-12.25,2.28,15.02
220,-13.89,2.68,15.25
230,-14.82,3.38,15.46
240,-15.09,4.13,16.0
250,-14.38,4.69,16.5
260,-12.98,5.0,16.64
270,-12.04,5.28,16.1
280,-11.76,5.47,15.28
290,-11.41,5.14,14.16
300,-11.08,4.01,12.62
310,-10.88,2.2,10.91
320,-11.16,0.79,9.69
330,-11.65,-0.07,9.35
340,-11.5,-0.49,9.4
350,-11.2,-0.56,10.22
360,-11.52,-0.19,11.78
370,-11.74,-0.15,13.32
380,-10.7,-0.32,14.39
390,-7.66,-1.09,14.82
400,-4.22,-2.11,13.78
410,-2.03,-2.2,11.81
420,-1.22,-1.85,9.89
430,-1.32,-1.81,7.93
440,-1.52,-1.82,6.51
450,-0.15,-2.45,5.77
460,2.51,-3.52,5.57
470,6.12,-4.42,6.21
480,9.28,-4.64,7.57
490,11.51,-4.65,8.93
500,13.4,-4.43,10.29
510,14.86,-4.08,11.94
520,16.32,-3.33,13.36
530,18.23,-3.15,13.59
540,19.26,-3.76,12.12
550,19.37,-4.46,10.05
560,19.46,-5.34,8.88
570,20.05,-6.24,8.88
580,21.63,-6.99,9.98
590,22.96,-8.0,10.92
600,24.41,-8.94,11.83
610,25.85,-9.56,13.12
620,26.49,-10.55,14.57
630,27.03,-11.48,15.22
640,26.8,-12.53,15.6
650,25.19,-13.55,15.59
660,22.37,-14.06,15.21
670,19.4,-14.41,14.37
680,16.57,-14.62,12.53
690,13.6,-14.7,9.65
700,10.37,-14.36,6.53
710,7.27,-13.86,3.33
720,4.07,-13.24,1.04
730,-0.13,-13.37,-0.09
740,-4.81,-13.51,0.51
750,-9.13,-12.67,3.04
760,-12.35,-11.07,6.59
770,-14.67,-8.37,10.9
780,-15.9,-5.28,14.74
790,-16.33,-2.95,16.89
800,-17.28,-2.19,16.83
810,-19.16,-2.11,15.39
820,-20.64,-2.25,13.96
830,-21.47,-2.07,12.71
840,-21.29,-1.4,12.1
850,-20.28,-0.34,12.28
860,-18.35,0.65,12.9
870,-15.97,1.1,13.26
880,-13.65,1.24,13.45
890,-11.64,0.88,13.22
900,-9.65,0.47,12.72
910,-7.68,0.43,12.39
920,-6.01,0.47,12.05
930,-4.8,0.41,11.59
940,-4.39,0.52,11.09
950,-4.15,0.64,10.67
960,-3.55,0.57,10.18
970,-3.1,0.43,9.7
980,-2.8,0.23,9.39
990,-2.1,-0.15,9.1
1000,-1.07,-0.46,9.13
